"JSv15";"Kolya";"Zdenek Sverak";"Und";"R:cellist, marries Russian for money, keeps child"
"JSv15";"Kolya";"Andrej Chalimon";"Und";"R:child"
"GgL3";"Star Wars";"Mark Hamill";"Her";"R:adventurer, becomes pilot ""Luke Skywalker"""
"GgL3";"Star Wars";"Carrie Fisher";"Rul";"R:rebel princess ""Leia Organa"""
"GgL3";"Star Wars";"Harrison Ford";"Und";"R:venal antihero ""Han Solo"""
"GgL3";"Star Wars";"Alec Guiness";"SdK";"R:old sage ""Ben Obi-Wan Kenobi"""
"GgL3";"Star Wars";"Peter Mayhew";"Und";"RN:""Chewbacca"""
"GgL3";"Star Wars";"Anthony Daniels";"Und";"R:robot ""C3PO"""
"GgL3";"Star Wars";"Kenny Baker";"Und";"R:robot ""R2D2"""
"GgL3";"Star Wars";"David Prowse";"Vil";"R:villain ""Darth Vader"""
"GgL3";"Star Wars";"Peter Cushing";"Und";"RU:"
"GgL3";"Star Wars";"James Earl Jones";"Voi";"RU:"
"SS18";"Indiana Jones and the Last Crusade";"Harrison Ford";"Her";"R:adventurer ""Indiana Jones"""
"SS18";"Indiana Jones and the Last Crusade";"River Phoenix";"Her";"R:adventurer as a boy"
"SS18";"Indiana Jones and the Last Crusade";"Denholm Elliott";"Sdk";"R:bumbling sidekick professor"
"SS18";"Indiana Jones and the Last Crusade";"Sean Connery";"Sci";"R:father, scientist"
"SS18";"Indiana Jones and the Last Crusade";"Alison Doody";"Und";"R:gorgeous nazi"
"SS18";"Indiana Jones and the Last Crusade";"John RhysDavis";"Und";"RU:"
"SS18";"Indiana Jones and the Last Crusade";"Julian Glover";"Und";"RU:"
"SS19";"Indiana Jones and the Holy Grail";"Harrison Ford";"Sci";"R:adventurer ""Indiana Jones"""
"SS19";"Indiana Jones and the Holy Grail";"Sean Connery";"Und";"R:scientist father"
"TYg18";"From Russia With Love";"Sean Connery";"Her";"R:agent ""James Bond 007#2"""
"TYg18";"From Russia With Love";"Daniela Bianchi";"Und";"R:Sovjet cipher clerk, converts"
"TYg18";"From Russia With Love";"Robert Shaw";"Und";"R:blond Russian spy"
"TYg18";"From Russia With Love";"Pedro Armendariz";"Und";"RU:"
"TYg18";"From Russia With Love";"Vladek Sheybal";"Und";"RU:"
"TYg18";"From Russia With Love";"Lotte Lenya";"Und";"R:torture queen"
"TYg18";"From Russia With Love";"Bernard Lee";"Und";"R:M"
"TYg18";"From Russia With Love";"Lois Maxwell";"Und";"R:secretary ""Miss Moneypenny"""
"TYg18";"From Russia With Love";"Desmond Llewellyn";"Und";"R:good chief ""Q"""
"FMx10";"American Hot Wax";"Tim McIntire";"Und";"R:deejay ""Alan Freed"""
"FMx10";"American Hot Wax";"Fran Dreschler";"Und";"R:secretary"
"FMx10";"American Hot Wax";"Jay Leno";"Und";"R:shovel-faced chauffeur"
"FMx10";"American Hot Wax";"Laraine Newman";"Und";"RU:"
"FMx10";"American Hot Wax";"Chuck Berry";"Und";"RU:"
"FMx10";"American Hot Wax";"Jerry Lee Lewis";"Und";"RU:"
"FMx10";"American Hot Wax";"Mossie Drier";"Und";"R:twelve-year old Buddy Holly fan club leader"
"JA30";"High School Confidential!";"Russ Tamblyn";"Und";"R:young undercover agent, asks teacher for date"
"JA30";"High School Confidential!";"Mamie VanDoren";"Und";"R:seductive aunt"
"JA30";"High School Confidential!";"Mel Welles";"Und";"R:boyfriend"
"JA30";"High School Confidential!";"Jan Sterling";"Und";"R:teacher"
"JA30";"High School Confidential!";"John Drew Barrymore jr.";"Und";"R:jive talker"
"JA30";"High School Confidential!";"Michael Landon";"Und";"R:nice guy, drag racer"
"JA30";"High School Confidential!";"Jackie Coogan";"Und";"R:head drug pusher"
"JA30";"High School Confidential!";"Jerry Lee Lewis";"Und";"R:rock singer ""Jerry Lee Lewis"""
"JA30";"High School Confidential!";"Sydney Chaplin";"Und";"RU:"
"JA30";"High School Confidential!";"Charles Chaplin jr.";"Und";"RU:"
"JA30";"High School Confidential!";"Lyle Talbot";"Und";"RU:"
"JA30";"High School Confidential!";"William Wellman";"Und";"RU:"
"JA30";"High School Confidential!";"Diana Darrin";"Und";"RU:"
"JA30";"High School Confidential!";"Ray Anthony";"Und";"RU:"
"SaP13";"TZ:Pat Garrett and Billy the Kid";"Kris Kristofferson";"Und";"RN:""Billie the Kid"""
"SaP13";"TZ:Pat Garrett and Billy the Kid";"James Coburn";"Und";"R:friend, hired to track Bilie the kid down ""Pat Garrett"""
"SaP13";"TZ:Pat Garrett and Billy the Kid";"Bob Dylan";"Und";"RU:"
"FrP2";"A Star is Born";"Barbra Streisand";"Und";"RU:"
"FrP2";"A Star is Born";"Kris Kristofferson";"Und";"RU:"
"SP45";"The Way We Were";"Barbra Streisand";"Und";"R:Jewish rich girl, communist"
"SP45";"The Way We Were";"Robert Redford";"Lov";"R:goy novelist ""Hubbell Gardiner"""
"SP46";"The Way We Were";"Patrick ONeal";"Und";"RU:"
"SP46";"The Way We Were";"Veveca Lindfors";"Und";"RU:"
"SP46";"The Way We Were";"Lois Chiles";"Und";"RU:"
"SP46";"The Way We Were";"Bradford Dillman";"Und";"RU:"
"SP46";"The Way We Were";"Herb Edelman";"Und";"RU:"
"SP46";"The Way We Were";"Murray Hamilton";"Und";"RU:"
"SP61";"Out of Africa";"Meryl Streep";"Und";"R:Danish coffee farmer in Kenya ""Karen Blixen"""
"SP61";"Out of Africa";"Robert Redford";"Und";"R:young British hunter, lover ""Denys Finch Hatton"""
"SP61";"Out of Africa";"Klaus Maria Brandauer";"Und";"R:baron, friend, selfish husband"
"SP61";"Out of Africa";"Michael Kitchen";"Und";"R:older hunter"
"SP61";"Out of Africa";"Malick Bowes";"Und";"R:young colonial girl"
"SP61";"Out of Africa";"Malick Bowes";"Und";"R:young colonial girl"
"SP61";"Out of Africa";"Joseph Ticka";"Und";"R:servant"
"SP61";"Out of Africa";"Stephen Kinanju";"Und";"R:native guide"
"SP61";"Out of Africa";"Michael Gough";"Und";"R:English lord"
"SP61";"Out of Africa";"Muriel Gross";"Und";"R:lord's wife"
"SP61";"Out of Africa";"Suzanne Hamilton";"Und";"R:colonial lady"
"AdL16";"Indecent Proposal";"Woody Harrison";"Vic";"R:overextended architect, husband ""David Murphy"""
"AdL16";"Indecent Proposal";"Demi Moore";"Lov";"R:beautiful wife, agrees ""Diane Murphy"""
"AdL16";"Indecent Proposal";"Robert Redford";"Vil";"R:billionaire, desires Diane, proposes 1MDoll for a night, keeps pursuing Diane ""John Gage"""
"AdL16";"Indecent Proposal";"Tommy Rile";"Sdk";"R:billionaire's driver ""Shakleford"""
"AdL16";"Indecent Proposal";"Oliver Platt";"Sdk";"R:architect's money-conscious lawyer"
"RbR14";"A Few Good Men";"Tom Cruise";"Und";"R:young Navy lawyer"
"RbR14";"A Few Good Men";"Jack Nicholson";"Und";"R:marine colonel, psychopath, accused"
"RbR14";"A Few Good Men";"Demi Moore";"Und";"R:luitenant commader, leader"
"RbR14";"A Few Good Men";"s a";"Und";"R:older lawyer, advises"
"RbR14";"A Few Good Men";"s a";"Und";"R:young prosecutor, fair"
"RbR14";"A Few Good Men";"J.A. Preston";"Und";"R:judge"
"RbR14";"A Few Good Men";"Michael deLeon";"Und";"R:young marine, killed"
"DdV4";"Hoffa";"Jack Nicholson";"Rul";"R:teamster boss"
"DdV4";"Hoffa";"Danny deVito";"Sdk";"R:boss' buddy"
"DdV4";"Hoffa";"Armand Assante";"Und";"R:union boss"
"DdV4";"Hoffa";"J.T. Walsh";"Und";"RU:"
"DdV4";"Hoffa";"Kevin Anderson";"Und";"RU:"
"MS10";"The Last Waltz";"The band";"Grp";"R:rock band"
"MS10";"The Last Waltz";"Joni Mtichell";"Und";"R:singer"
"MS10";"The Last Waltz";"Bob Dylan";"Und";"R:singer"
"MS10";"The Last Waltz";"Van Morrison";"Und";"R:singer"
"MS10";"The Last Waltz";"Neil Young";"Und";"R:singer"
"MS10";"The Last Waltz";"Eric Clapton";"Und";"RU:"
"MS10";"The Last Waltz";"Muddy Waters";"Und";"RU:"
